s1,s2,stance
ارتفاع الأسهم الخليجية,الأسهم الخليجية ترتفع,agree
وزير الخارجية السعودي عادل الجبير لبي بي سي: الحوثيون جندوا أطفالا وسرقوا المساعدات الإنسانية,صرح عادل الجبير بأن هناك أطفال مجندة في اليمن,agree
ليبيا: مقتل العشرات في اشتباكات بين المليشيات بطرابلس,سقوط العشرات فى ليبيا نتيجة اشتباكات بين المليشيات بطرابلس,agree
رسّامة جزائرية: لا أرسم خيالا، بل حقيقة,صرحت الرسامة الجزائرية بأن رسمها فى الأساس يجسد الخيال,disagree
الدولار يسجل أعلى مستوى هذا العام,أعلى مستوى لسعر اليورو هذ العام,disagree
السعودية تفتح باب القبول للوظائف العسكرية أمام الفتيات,السعودية: فتح باب القبول أمام الفتيات للوظائف العسكرية,agree
سكان الغوطة الشرقية يفرون مع تقدم الجيش السورى و تصاعد القتال,سكان الغوطة الشرقية يبقون فى أرضهم رغم تصاعد القتال,disagree
بكين تعاقب واشنطن بـ50 مليار دولار,٥٠ مليار دولار عقاب صيني لواشنطن,agree
عائلة مستوطن تحصل على مليون دولار بعد طعنه من فلسطينى,عائلة مستوطن تفشل فى الحصول على تعويض بعد طعنه من فلسطينى,disagree
مجلس أبوظبي للاستثمار ينضم إلى مجموعة مبادلة,انضمام مجلس أبو ظبي للاستثمار لمجموعة مبادلة,agree
فرضت واشنطن عقوبات على حسن نصر الله الأمين العام لحزب الله ومساعدين له,حل أزمة واشنطن و حسن نصر الله,disagree
التحالف السعودي الإماراتي شن غارة جوية أدت لمقتل أطفال يمنيين,السعودية تنفي أي أخبار عن قتلى أطفال باليمن,disagree
أسواق السيارات الكهربائية قريبا تحت الغزو الصيني,خطة يابانية لغزو سوق السيارات الكهربائية,disagree
القبض على مخرج ومؤلف عرض مسرحي و حبسه احتياطيا بتهمة الإساءة للجيش المصرى,الافراج عن مخرج ومؤلف بعد اتهامه الإساءة للجيش المصرى,disagree
أول تراخيص قيادة سيارات للنساء في السعودية,منع السعوديات من قيادة السيارات,disagree
التغييرات في السعودية منذ أصبح محمد بن سلمان وليا للعهد,تعرف على التغييرات الحادثة في السعودية منذ تولى محمد بن سلمان منصب ولي للعهد,agree
يبدأ وزير الخارجية الأمريكى جولته فى الشرق الأوسط بالرياض,ألغى وزير الخارجية الأمريكى زيارته للشرق الأوسط,disagree
بعد انتقاد ترامب.. سول تراجع اتفاق التجارة الحرة,تراجع كوريا الجنوبية عن اتفاق التجارة الحرة,agree
نشطاء: أكثر من نصف مليون قتيل في سوريا منذ اندلاع الحرب,الحرب السورية تخلف أكثر من نصف مليون قتيل منذ اندلاعها,agree
اسقاط طائرة مقاتلة سورية من نوع سوخوي فوق الجولان من جانب إسرائيل,إسرائيل تفشل فى اسقاط طائرة مقاتلة سورية فوق الجولان,disagree
بعد الانهيار.. الليرة التركية تسجل ارتفاعا طفيفا,ارتفاع طفيف لليرة التركية,agree
الكنيست الإسرائيلي: قراءة أولى لمشروع قانون يهودية الدولة المثير للجدل,الكنيست الإسرائيلي يرفض مشروع قانون يهودية الدولة المثير للجدل,disagree
زلزال العقوبات الأميركية يهوي بالأسهم والعملة الروسية,الأسهم والروبل الروسيان يهويان بسبب العقوبات الأميركية,agree
ارتفاع كبير في سعر المحروقات بالسودان,أسعار المحروقات ترتفع في السودان,agree
انتخاب أول امرأة لتولي منصب شيخ مدينة تونس,تونس: أول امرأة يتم انتخابها لمنصب شيخ مدينة,agree
نساء البحرين يقتحمن مجال إصلاح السيارات,نساء البحرين يدخلن تحدى جديد فى مجال إصلاح السيارات,agree
مواقع تمركز الأموال السعودية بالخارج,أين تتمركز الأموال قطر في الخارج؟,disagree
روسيا استغلت هوس المونديال لتمرير قرار يمس الملايين,تمرير قرار روسي خلال المونديال يمس سن التقاعد,agree
ماذا بعد عفرين والغوطة الشرقية في سوريا؟,تساؤلات عن مصير سوريا,agree
العدل الدولية تعلن إدانتها لأحكام الإعدام الجماعية في مصر وتطالب بإعادة النظر فيها,العدل الدولية تتجاهل أحكام الإعدام الجماعية في مصر,disagree
مقتل 9 من قوات الحرس الوطني في هجوم مسلح شمال غربي تونس,هجوم مسلح شمال غربي تونس دون وقوع ضحايا,disagree
روسيا تقدم شهودا بشأن الهجوم الكيمياوى فى دوما و تصفه بالمسرحية,روسيا ترفض الاعتراف بالهجوم الكيمياوى فى دوما,disagree
النقد يوافق على صرف شريحة جديدة إلى تونس,النقد يرفض صرف شريحة جديدة لتونس,disagree
العراق.. ارتفاع احتياطي العملة الأجنبية في يونيو,انخفاض مخزون العملة الأجنبية في العراق,disagree
منحت إسرائيل أكثر من 16 ألف حق الإقامة الدائمة بهدف الدراسة,منعت إسرائيل أكثر من 16 ألف طالب من الإقامة الدائمة,disagree
الناخبون في مصر يتوجهون لصناديق الاقتراع في الانتخابات الرئاسية,إقبال كبير على صناديق الإنتخابات الرئاسية في مصر,agree
الذهب مستقر..  برغم تجدد التوترات التجارية,استقرار للذهب رغم طبول الحرب التجارية,agree
المرشد الأعلى الإيراني: لن تكون هناك حرب ولا مفاوضات مع أمريكا,المرشد الأعلى الإيراني يعلن الحرب,disagree
الإمارات.. شراكة بين إعمار والدار العقاريتين,توقيع اتفاقية بين شركتين عملاقتين للإعمار في الإمارات,agree
آمال مصرية إيطالية كبيرةبشأن كشف غموض مقتل ريجيني,قضية مقتل ريجينى تلقى الأهمال من الحكومة المصرية و الإيطالية,disagree
تركيا تتحفز التدخل في سوق العملات,تركيا توقف عن التدخل في سوق العملات,disagree
سوريا: مصرع الكثير من المدنيين في غارة شنتها أمريكا ضد تنظيم الدولة,أمريكا تشن غارة ضد تنظيم الدولة دون اصابات من المدنيين,disagree
هيومن رايتس ووتش تكشف عن تستر التحالف العربى على جرائم حرب فى اليمن,هيومن رايتس ووتش ترى انه لا توجد جرائم حرب فى اليمن,disagree
وفاة الإذاعي المصري أحمد سعيد المدير السابق لصوت العرب,وفاة أحمد سعيد الإذاعي والمدير السابق لصوت العرب,agree
الليرة التركية.. صعود طفيف بعد الانتخابات,انخفاض ملحوظ لقيمة الليرة التركية,disagree
عملية جراحة ناجحة للملك محمد السادس في فرنسا,عملية جراحة ناجحة للملك محمد السادس في موريتانيا,disagree
المركزي التركي يتدخل والليرة تترنح,الليرة تستقر والمركزي التركي يقف صامتا,disagree
إختفاء منظمات الإغاثة تمام من عفرين,توصل منظمات الإغاثة إلى حلول للأزمات الإنسانية في عفرين,disagree
العراق يحقق في أغسطس أعلى معدل صادرات للنفط,العراق يعدم 12 مدانا بالإرهاب تنفيذا لأوامر العبادي,other
موسم الحظ في انتخابات الرئاسة المصرية,موسم الحظ في انتخابات الرئاسة التونسية,disagree
اشتباكات ضارية في العاصمة طرابلس مما أدى لفرار المئات من السجون,ليبيا: فرار مئات السجناء وسط اشتباكات عنيفة في بنغازي,disagree
ارتفاع أسعار الغاز والكهرباء يشعل الشارع الأرجنتيني,انخفاض في أسعار الكهرباء والغاز في الأرجنتين,disagree
صعود في قيمة الليرة التركية,انخفاض ملحوظ لقيمة الليرة التركية,disagree
الريال الإيراني يهوي بسبب تهديدات ترامب,رغم تهديدات ترامب الريال الإيراني يتعافى,disagree
تراجع الاحتياطي الدولي والسيولة الأجنبية لـقطر المركزي,السيولة النقدية الأجنبية تتراجع في مركزي قطر,agree
أردوغان يتعهد بتحقيق السلام في سوريا والعراق,تعهد من أردوغان بتحقيق السلام فى العراق و سوريا,agree
الريال الإيراني يواصل الانهيار الكبير,انهيار كبير للريال السعودي,disagree
محكمة إسرائيلية تعلق العمل بخطة الحكومة لترحيل المهاجرين الأفارقة,تعليق العمل بخطة الحكومة لترحيل المهاجرين الأفارقة بقرار من محكمة إسرائيلية,agree
غاز قبرص لمصر بلا عوائق,غاز مصري لقبرص بلا عوائق,disagree
محاكمة متهمين مصريين باختلاف مليار دولار,مصريون اختلسوا مليار دولار يفلتون من المحاكمة,disagree
حريق تسبب في سقوط الطائرة المصرية فوق المتوسط في 2016,سقوط الطائرة المصرية فوق البحر المتوسط فى 2016 كان بسبب حريق,agree
أعلن الكنيست الإسرائيلي عن قراءة أولى لمشروع قانون يهودية الدولة المثير للجدل,الكنيست الإسرائيلي يرفض مشروع قانون يهودية الدولة المثير للجدل,disagree
مصر: تعيين حكومة جديدة والدفاع والداخلية أبرز التغييرات,تغيير حكومى فى مصر و الدفاع و الداخلية أبرز التغييرات,agree
النفط يصعد رغم الزيادة في المخزونات الأميركية,تصاعد لأسعار النفط رغم زيادة المخزون الأمريكي,agree
نفي من وزارة الآثار المصرية لوجود غرف سرية وراء مقبرة توت عنخ آمون,تأكيد من وزارة الآثار المصرية لوجود غرف سرية وراء مقبرة توت عنخ آمون,disagree
205 مذكرات توقيف لعناصر في شبكة تهريب في ليبيا,استمرار شبكات التهريب فى ليبيا دون ردع,disagree
ضربة قوية لشركة نيسان بعد فضيحة الانبعاثات,الانبعاثات تهدد نيسان,agree
روحاني يهدد ترامب بـعواقب وخيمة إذا انسحب من الاتفاق النووي,روحانى و ترامب يتوصلان لحل بشأن الاتفاق النووي,disagree
الرئيس التركي غاضب ويشعر بالخيانة,الرئيس التركي متفائل بالوضع السياسي,disagree
المحكمة الدستورية في مصر لا تعترف بأحكام القضاء بشأن تيران وصنافير,المحكمة الدستورية في مصر تقضي باحترام أحكام القضاء بشأن تيران وصنافير,disagree
جزيرة سومطرة في أندونيسيا تُنقذ من قبل القرود,جزيرة سومطرة في أندونيسيا تُنقذ من قبل الفيلة,disagree
أردوغان يصدر قرارات جديدة تعزز من سلطاته التنفيذية,أردوغان يقلص من سلطاته التنفيذية,disagree
اختفاء خاشقجي: بومبيو يبحث القضية مع العاهل السعودي,مباحثات بين بومبيو و العاهل السعودي بشأن اختفاء خاشقجي,agree
ضخ سيولة في صرافات السودان,مركزي السودان يسحب السيولة من الصرافات,disagree
محكمة عراقية تقضي بإعدام 16 امرأة تركية بتهمة الانضمام لتنظيم الدولة الإسلامية,حكم ببراءة 16امرأة تركية,disagree
تراجع أسعار النفط ومخاوف من فائض في الأسواق,النفط يتراجع ومخاوف من فائض,agree
زلزال الليرة يصل قبرص التركية.. واقتصاد أنقرة بمهب الريح,عاصفة اقتصادية جراء التراجع الحاد في الليرة التركية,agree
تبادل للقصف بين القوات السورية والمعارضة في المنطقة المنزوعة السلاح,هدوء بين القوات السورية و المعارضة,disagree
البشير يبشر بحلول اقتصادية جديدة,البشير ينفي وجود حلول اقتصادية جديدة,disagree
سلام جوبا يرفع قيمة الجنيه السوداني,الحرب جنوبي السودان تهوي بقيمة الجنيه,disagree
تعرض قوات الحكومة لهجوم إنتحاري في درعا,تعرض تنظيم الدولة لهجوم في درعا,disagree
أسرار بشرة نفرتيتي البيضاء,كيف أصبحت بشرة نفرتيتي حمراء؟,disagree
الشرطة السعودية تكشف لغز هدية ثمينة للإعلامية الكويتية حليمة بولند,الشرطة السعودية تفشل فى حل لغز الهدية الثمينة للإعلامية حليمة بولند,disagree
العملات الرقمية وهم يبدده تقرير دولي,تقرير دولي يشيد بأداء العملات الوهمية,disagree
ما صلاحيات أردوغان في ظل النظام الرئاسي؟,تعرف على صلاحيات أردوغان في ظل النظام الرئاسي فى تركيا,agree
قطر تعترف بخسائرها الفادحة بسبب المقاطعة,اعتراف قطري بالخسائر الاقتصادية جراء الحصار,agree
ترامب يقود مباحثات دولية حول الرسوم الجمركية الأميركية,مباحثات ترامب حول الرسوم الجمركية تفشل,disagree
دعوة للعمل 4 أيام بالأسبوع فقط.. مع راتب أعلى,دعوة لخفض الرواتب وزيادة أيام العمل,disagree
مصر: اتفاق بمليار دولار لتوفير سلع أساسية للمواطنين,سلع بمليار دولار للمواطنين اللبنانيين,disagree
اقتصاد ولاية أميركية يتجاوز بريطانيا.. ويصبح الخامس عالميا,ولاية أميركية تحتل المرتبة العاشرة اقتصاديا,disagree
قامت واشنطن بإلغاء 200 مليون دولار من المساعدات لغزة والضفة الغربية,واشنطن ترسل 200 مليون دولار مساعدات لغزة والضفة الغربية,disagree
أوبك تقترب من المستوى المستهدف لخفض المخزونات,رفع مخزونات أوبك للمستوى المطلوب,disagree
رقم قياسي جديد لقناة السويس,السويس تعجز عن تحقيق أي رقم قياسي,disagree
حرصت تيلرسون على طرد ميليشيا كردية من القوات السورية,طالبت تيلرسون بضرورة بقاء ميليشا كردية في القوات السورية,disagree
الجيش التركي يعلن تطويق عفرين السورية,الجيش التركى يعلن فقد سيطرته عن مدينة عفرين السورية,disagree
العجز والتضخم يهددان الدولار,الدولار مهدد بسبب الحرب,disagree
الإمارات تعلن موعد تشغيل أول مفاعل نووي,موعد تشغيل أول مفاعل نووي في مصر,disagree
سوري عالق في مطار كوالالمبور لأكثر من شهر,حل أزمة السوري العالق في مطار كوالالمبور,disagree
اتفاق لتنظيم العمالة بين الكويت والفلبين,الكويت ترفض تنظيم العمالة الفلبينية,disagree
من القاهرة إلى طوكيو.. انفجار مستمر بأكبر مدن العالم,انفجارات ديمغرافي مستمر في أكبر مدن العالم,agree
احتجاجات التقاعد تتصاعد في روسيا,رفع سن التقاعد يشعل انتفاضة شعبية روسية,agree
استثمارات إيران في سوريا أمام معركة شرسة,معركة شرسة تواجه استثمارات إيرانية في سوريا,agree
السغودية: بدء تشغيل قطار الحرمين,وقف قطار الحرمين في السعودية,disagree
مصر: الحكم بإعدام 3 أشخاص في قضية تنظيم كتائب أنصار الشريعة,براءة 3 أشخاص في قضية تنظيم كتائب أنصار الشريعة,disagree
تونس: أول امرأة يتم انتخابها لمنصب شيخ مدينة,امرأة فى تونس تفشل فى الحصول على منصب شيخ مدينة,disagree
طريقة انتخاب رئيس الجمهورية و رئيس البرلمان في دولة العراق,طريقة انتخاب رؤساء المجالس المحلية في العراق,disagree
تسجيل ارتفاع في معدل التضخم في السودان هو الأعلى منذ سنوات,انخفاض في معدل التضخم بالسودان,disagree
مصرع 24 تلميذا إثر انقلاب قارب في نهر النيل بشمال السودان,انقلاب قارب في نهر النيل بشمال السودان مما نتج عنه مصرع 24 تلميذا,agree
هدد روحانى ترامب بعواقب وخيمة حال الانسحاب من الاتفاق النووي,روحانى و ترامب يتوصلان لحل بشأن الاتفاق النووي,disagree
أول غارات جوية روسية على جنوبي سوريا منذ هدنة 2017,روسيا بدون غارات جوية على سوريا منذ هدنة 2017,disagree
صعود قياسي الإيرادات السياحة في تونس في ٢٠١٨,إيرادات السياحة تنخفض للنصف في تونس خلال ٢٠١٨,disagree
اختفاء جمال خاشقجي: بريطانيا تحث السعودية على تقديم إجابات عاجلة بشأن اختفاء الصحفي في تركيا,مطالبات من بريطانيا للسعودية بشأن إيضاح المزيد من التفاصيل عن اختفاء جمال خاشقجي,agree
مهربون يطلقون النار على مهاجرين حاولوا الفرار من الاحتجاز في ليبيا,ليبيا: أطلق مهربون النار على مهاجرين حاولوا الفرار من الاحتجاز,agree
روحاني يتعهد بمواجهة المسؤولين الأمريكيين المعادين لإيران,روحاني يتوصل لاتفاق مع المسؤولين الأمريكيين,disagree
ترامب يغرد بإنجازاته الاقتصادية.. قبل القمة التاريخية,ترامب يتحدث عن إنجازاته الاقتصادية قبيل لقاء القمة,agree
اكتشاف معادن ثمينة تكفي العالم لقرون,اكتشاف حقول نفطية تسد الاحتياج العالمي لقرون,disagree
أدوار مهمة في أفلام بارزة رفضها بعض الممثلون,تسعة ممثلين رفضوا أدوارا هامشية في أفلام بارزة,disagree
هبوط بيتكوين بعد قرصنة بورصة كورية للعملات الافتراضية,البورصة الكورية متهمة بفقرصنة العملات الرقمية,agree
إنفوغرافيك..الخسارة الأكبر للشركات الأمريكية في يوم,إنفوغرافيك..الخسارة الأكبر للشركات الأمريكية في عام,disagree
ما هي الأسئلة التي تدور بأذهانكم عن البوليساريو وملف الصحراء الغربية؟,من هي العارضة البلجيكية التي أثارت الغضب بصورها العارية في مصر وإسرائيل؟,other
زيادة الإنتاج في أوبك تخفض أسعار النفط,تراجع أسعار النفط بفعل قلة إنتاج أوبك,disagree
بوتن يسعى لإصلاحات اقتصادية في ولايته الرابعة,رئيس روسيا في ولايته الرابعة يتفادى الإصلاحات الاقتصادية,disagree
تركيا تفرض رسوما جمركية على السلع الأميركية,رسوم جمركية جديدة على السلع التركية في أميركا,disagree
أسعار النفط ترتفع.. وبرنت يقترب من 80 دولارا,ارتفاع على النفط و٨٠ دولارا للبرنت,agree
وفاة صحفي كتب عن المرتزقة الروس في سوريا في ظروف غامضة,وفاة صحفى بعد صراع مع المرض,disagree
تراجع أسعار النفط بفعل صادرات أميركا,أسعار النفط تتراجع بفعل الصادرات الأميركية,agree
اختفاء جمال خاشقجي: أردوغان يتعهد بإعلان نتائج التحقيق في القضية,أردوغان غير مكترث بإعلان نتائج التحقيق في قضية اختفاء خاشقجي,disagree
استدعت العراق السفير الجزائري فى بغداد بعد هتافات مسيئة في مباراة كرة قدم,تجاهل عراقي بعد هتافات مسيئة في مباراة كرة قدم في فى الجزائر,disagree
وفاة مبتكر الرجل العنكبوت عن عمر 90 عاما,دراسة مثيرة عن علاقة معدل الخصوبة بالركود الاقتصادي,other
بحر قزوين.. أهمية استراتيجية وخلاف تاريخي,ثروات أكبر بحر مغلق بين جاراته الخمس عبر التاريخ,agree
الإنتاج الأميركي.. يهبط بأسعار النفط,الإنتاج الأميركي يرفع أسعار النفط,disagree
امرأة سودانية تواجه شبح الإعدام شنقا بعدما قتلت زوجها اثناء اغتصابه لها,براءة امرأة سودانية بعدما قتلت زوجها اثناء اغتصابه لها,disagree
واشنطن تغلق قنصليتها بالبصرة وتحمل طهران مسؤولية سلامة رعاياها,فرنسا تغلق قنصليتها بالبصرة وتحمل طهران مسؤولية سلامة رعاياها,disagree
صعود مستمر للنفط,هبوط متواصل للنفط,disagree
قفزة للدولار وتحقيق مكاسب,الدولار يهبط ويفقد مكاسبه,disagree
مستشار أردوغان: جمال خاشقجي قتل في القنصلية السعودية,قال مستشار أردوغان أن جمال خاشقجي قد قتل في القنصلية السعودية,agree
قرار حكومي مصري عاجل بسبب وفرة السكر,مصر تؤجل قرارا بسبب ندرة السكر,disagree
حادث الطائرة التركية: مصرع ابنة رجل أعمال وصديقاتها بعد حفل في الإمارات,نجاة ابنة رجل أعمال وصديقاتها من حادث الطائرة التركية,disagree
السعودية تطلق صكوكا دولية بقيمة ملياري دولار,صكوك سعودية بقيمة ملياري دولار,agree
الانتخابات الرئاسية في مصر: السيسي في طريقه للفوز بولاية رئاسية ثانية,السيسى على وشك الخروج خاسرا من السباق الرئاسي,disagree
التوصل إلى اتفاق على خروج جيش الإسلام من الغوطة في سوريا,فشل اتفاق خروج جيش الإسلام من الغوطة فى سوريا,disagree
روسيا: لا يوجد اتفاق في مجلس الأمن بشأن الهدنة في سوريا,روسيا تعلن اتفاق فى مجلس الأمن بالهدنة فى سوريا,disagree
حكم بإعدام 45 شخصا في ليبيا بتهمة قتل متظاهرين عام 2011,ليبيا تصدر حكما بإعدام 45 شخصا متهمين بقتل متظاهرين عام 2011,agree
حريق يطال مخازن صناديق الانتخابية لجانب الرصافة من العاصمة العراقية,مخازن الصناديق الانتخابية لجانب الرصافة من العاصمة العراقية تتعرض لحريق هائل,agree
وزير النفط العراقي: تلقينا أكثر من 90 عرضا لخط أنابيب كركوك,أقل من ٩٠عرضا لنفط غرب إيران,disagree
إيران تقبض على 22 شخصا يشتبه في ضلوعهم بهجوم الأهواز,إيران تعلن القبض على 22 شخصا يشتبه بتورطهم فى هجوم الأهواز,agree
الليرة التركية.. صدمة جديدة بعد صحوة ساعات,صحوة ساعات لليرة تركيا يليها صدمها جديدة,agree
استقرار أسعار النفط بدعم من تحركات متعاملين,عزوف المتعاملين يهدد استقرار النفط,disagree
وفاة صحفي كتب عن المرتزقة الروس في سوريا في ظروف غامضة,وفاة صحفى فى ظروف غامضة بعد أن كتب عن المرتزقة الروس فى سوريا,agree
ما سر اعتراف إسرائيل فى هذا الوقت بتدمير المفاعل النووي السوري؟,إسرائيل تنكر تدمير المفاعل النووي السوري,disagree
تعرف على عشيرة الغفران التي تشكو سحب قطر الجنسية من أبنائها,حل أزمة عشيرة العفران فى قطر,disagree
مصر.. رد حكومي على إضافة مادة للخبز تقلل السكان,الحكومة المصرية توضح تفاصيل مادة تضاف للخبز,agree
تراجع فادح للريال الإيراني.. وطوابير أمام مكاتب الصرافة,ارتفاع الريال الإيراني يضعف الإقبال على محال الصرافة,disagree
النفط يهبط من أعلى مستوياته,ارتفاع النفط لأعلى مستوى,disagree
اقصاء لواردات 20 مصنع لحوم برازيلي من أوروبا,اقصاء لواردات 20 مصنع بن برازيلي من أوروبا,disagree
الذهب يتعافى وسط محادثات مزمعة بين أميركا والصين,الذهب يتراجع جراء محادثات مزعمة بين الصين وأوروبا,disagree
مليون دولار لعائلة مستوطن طعنه فلسطيني,عائلة مستوطن تفشل فى الحصول على تعويض بعد طعنه من فلسطينى,disagree
أوبك تقلص توقعاتها لنمو الطلب العالمي,تقليص توقعات نمو الطلب العالمي على النفط,agree
خامنئي يعترف بالأزمة الاقتصادية في إيران.. ويطالب بحلها,اعتراف خامنئي بالأزمة الاقتصادية الإيرانية,agree
الليرة التركية تهبط إلى مستوى قياسي جديد أمام الدولار,هبوط حاد لليرة التركية مقابل الدولار,agree
روسيا تعلن تسليم منظومة الدفاع الجوي اس-300 إلى سوريا,اس-300 إضافة جديدة لمنظومة الدفاع الجوي السوري,agree
ترامب وروحاني يتبادلان التصريحات الغاضبة,هدوء الأوضاع بين ترامب و روحانى,disagree
إستمرت حمى الذهب في موريتانيا بالرغم من المشكلات,إستمرت حمى الذهب في اليمن بالرغم من المشكلات,disagree
إسبانيا تفك الشفرة السرية لرسائل عمرها 500 عام كتبها الملك فرديناند,رسائل عمرها 1000عام كتبها الملك فرديناند تُفك  شفرتها من قبل إسبانيا,disagree
كاني ويست يدافع عن ترامب بأغنية جديدة,فيلم جديد يصدرها كاني ويست مدافعاً عن ترامب,disagree
سقوط 9 قتلى من قوات الحرس الوطني التونسى في هجوم مسلح شمال غربي البلاد,هجوم مسلح شمال غربي تونس دون وقوع ضحايا,disagree
مصر.. مقترح جديد بشأن جمارك سيارات المغتربين,سيارات المغتربين تفلت من مقترح جمركي مصري,disagree
منظر طبيعي من أعمال فان غوخ الأولى يباع بـ 8.2 ملايين دولار,أحد الرسومات الفنية لفان غوخ يباع بقيمة 8.2 ملايين دولار,agree
خسائر كبيرة لـجنرال إلكتريك,مكاسب كبيرة لـجنرال إلكتريك,disagree
لبنان في أزمة.. تقرير يرصد الانهيار الاقتصادي الكبير,نمو في اقتصاد لبنان,disagree
القاهرة تستضيف اجتماعات صندوق النهضة,صندوق النهضة في ضيافة القاهرة,agree
الحرب في سوريا: كيف يمكن أن تغير إدلب استراتيجية ترامب؟,ترامب يرفض تغيير استراتيجياته فى سوريا بسبب إدلب,disagree
٢ مليار دولار سعودية وديعة باليمن,اليمن تودع ملياري دولار بالسعودية,disagree
ما هي الأسئلة التي تدور بأذهانكم عن منطقة الريف شمال المغرب؟,ريف شمال المغرب يشكل تساؤلات بأذهان الزوار,agree
أردوغان يتعهد بالسيطرة على تل رفعت في سوريا قريبا,أردوغان يرفض اتخاذ أى خطوات تجاه تل رفعت فى سوريا,disagree
النفط يرتفع قبيل العقوبات الأميركية على إيران,عقوبات واشنطن على إيران ترفع أسعار النفط,agree
اعتقال إيرانية تعيش في بريطانيا منذ 10 سنوات خلال زيارتها للبلاد,اطلاق سراح إيرانية تعيش في بريطانيا منذ 10 سنوات,disagree
السلطات الإيرانية تلقي القبض على مسؤول لترخيصه لحفل راقص,مسؤول إيراني يعطي الترخيص لإقامة حفل راقص و الشرطة تعتقله,agree
هبوط للدولار بفعل حرب الصين_أميركا التجارية,ارتفاع الدولار إثر التهديد بحرب تجارية صينية أميركية,disagree
وفاة مصور جنوب أفريقي لفت أنظار العالم لسياسة الفصل العنصري,وفاة مصور جنوب أفريقيا الذي أوضح للعالم سياسة الفصل العنصري,agree
ولي العهد السعودي: الإسرائيليون لهم حق في الأرض,صرح ولي العهد السعودي بأن الإسرائيليين لهم حق في الأرض,agree
خامنئي يعترف: خطأ فادح السبب في مشكلات إيران,اعتراف خامنئي:خطأ فادح في أزمة إيران,agree
المصريون بين أكثر 10 جنسيات تحول نقودا إلى بلادها,المغتربون الفلسطينيون من بين أكثر ١٠ جنسيات تحويلا للأموال لبلادهم,disagree
النفط يهوي والسبب مخزونات الخام الاميركي,مخزونات الخام الأميركي تصعد بالنفط,disagree
القاهرة تستضيف اجتماعات صندوق النهضة,دمشق تستضيف صندوق النهضة,disagree
29 قتيلا في هجوم بقذيفة صاروخية على سوق مزدحم شرقي دمشق,هجوم بقذيفة صاورخية فى دمشق دون وقوع ضحايا,disagree
اقتصاد قطر.. انهيار مستمر والقادم أسوأ,تواصل ارتفاع اقتصاد قطر رغم المقاطعة,disagree
محكمة أمريكية في منهاتن توجه تهم الاغتصاب من الدرجة الأولى والثالثة لهارفي واينستين,هارفي واينستين يتهم بالاغتصاب من الدرجة الثانية من قبل المحكمة الأمريكية في منهاتن,disagree
من أين جاء الاحتفال بكذبة أبريل؟,كذبة نوفمبر.. من أين جاءت ؟,disagree
احتجاجات في مدن إيرانية بسبب تدهور الأوضاع الاقتصادية,إنتعاش الاقتصاد الإيراني,disagree
مؤسسة عالمية تحذر من تبعات كارثية لهبوط الليرة التركية,مؤسسة عالمية تحذر من تداعيات كارثية لانهيار الدولار,disagree
الذهب يرتفع وتعافي الدولار يقيد مكاسبه,ارتفاع لأسعار الذهب و تعافي سعر الدولار,agree
عباس يدعو إلى مؤتمر دولي للسلام في الشرق الأوسط منتصف هذا العام,عباس لا يرى أهمية لمؤتمر السلام الدولي,disagree
انفجار قوى فى مصنوع للمواد الكيماوية بالقرب من مطار القاهرة,سماء دوي انفجار دون معرفة المصدر فى القاهرة,disagree
أردوغان يفتح النار على محتالي التصنيف الائتماني,محتال التصنيف الائتماني تحت نيران أردوغان,agree
دوائر لنظر قضايا الفساد لأول مرة في السعودية,قضايا الفساد في السعودية دون دوائر لنظرها,disagree
أوبك تقلص توقعاتها لنمو الطلب العالمي,اوبك ترفع توقعاتها بشأن نمو الطلب العالمي,disagree
غارات إسرائيلية مكثفة على غزة ردا على إصابة أربعة جنود إسرائيليين,هدوء إسرائيلي بعد إصابة أربعة جنود إسرائيليين,disagree
طائرات سورية وروسية تشن أعنف غارات على إدلب منذ أسابيع,غارة عنيفة شنتها طائرات روسية و سورية على إدلب,agree
أسعار النفط تستقر قرب أعلى مستوياتها بسبب التوتر في سوريا,سوريا تدفع لاستقرار النفط قرب أعلى مستوى,agree
قس أمريكي يحاكم في تركيا بتهمة دعم جماعة فتح الله غولن,أفرجت تركيا عن قس أمريكي تم اتهامه بمساعدة جماعة غولن,disagree
مصارف عراقية جديدة مستهدفة أميركياً,العراق تلاحق مصارف أميركية,disagree
فرنسا وألمانيا يدا بيد أمام التوترات التجارية العالمية,فرنسا وألمانيا تتراجعان عن التعاون أمام التوترات التجارية العالمية,disagree
خسائر الطيران الروسي في سوريا منذ 2015,أرباح طائلة للطيران الروسى,disagree
التوترات التجارية تهبط بالنفط,النفط يتأثر سلبا بالتوتر التجاري,agree
مقتل الكثير من المدنيين في غارة أمريكية ضد تنظيم الدولة في سوريا,أمريكا تشن غارة ضد تنظيم الدولة دون اصابات من المدنيين,disagree
الإسترليني يهبط والدولار يصعد,صعود كبير للإسترليني وهبوط حاد للدولار,disagree
ما هو الأربعاء الأحمر الذي يحتفل به الإيزيديون ؟,الإيزيديون يحتفلون بالأربعاء الأحمر على طريقتهم,agree
تركيا.. الليرة تستبق محاكمة الجمعة بتغير مهم,صعود لليرة قبل محاكمة برونسون,agree
