claim_s,fake_flag
الليرة تتعافى في تركيا والتضخم يتراجع,1
تركيا: تراجع الليرة فرصة ذهبية للسواح,0
إيرادات دون المتوقع لقناة السويس,1
شركات أوروبية تحت العقوبات الأميركية والسبب إيران,0
حقائق عن تمبكتو الذي احتجزت المحكمة الجنائية جهاديا لارتكابه جرائم حرب بها,0
منظمة حقوقية تعلن ان ليبيا غير جاهزة لإجراء انتخابات حرة ونزيهة,0
رفع مخزونات أوبك للمستوى المطلوب,1
انقلاب قطار في المغرب دون وقع اصابات,1
استقرار أسعار النفط بدعم من تحركات متعاملين,0
بناءاً على طلب الكثيرين: أهم 8 معلومات عن البوليساريو وقضية الصحراء الغربية,0
السيسى على وشك الخروج خاسرا من السباق الرئاسي,1
قرر البرلمان العراقى إعادة فرز الأصوات فى الانتخابات يدويا بإشراف قضائي,0
ألمانيا تتحدى محاولات واشنطن تقسيم الاتحاد الأوروبي,0
حذر الرئيس الأمريكى ترامب روحاني من مغبة تهديد الولايات المتحدة,0
موازنة ضخمة للإمارات في ٢٠١٩,1
تراجع مبيعات العقارات في الأردن.. والعراقيون أول المشترين,0
مكياج بنات و نساء الروهينجا المسلمات في بنغلاديش فريد من نوعه,0
وقف جمارك مصرية على سلع ليس لها بدائل محلية,1
محكمة العدل الأوروبية تستثني الصحراء الغربية من اتفاق الصيد مع المغرب,0
هدد ترامب روسيا بسبب موقفها بشأن الإتفاق النووي,1
انخفاض الدولار يرفع الذهب,1
هيومن رايتس ووتش: لا يوجد اختفاء قسري بالعراق,1
هبوط قياسي لليرة التركية,0
مصر.. رقم جديد لمعدل النمو,1
رفع سن التقاعد يشعل انتفاضة شعبية روسية,0
الليرة تستقر والمركزي التركي يقف صامتا,1
10 نجوم يشاركوا في السياسة آخرهم مخرج الجنس و المدينة ,1
وفاة ملكة أغاني السول أريثا فرانكلين عن عمر يناهز ال76 سنة,0
عاصفة اقتصادية جراء التراجع الحاد في الليرة التركية,0
الاحتياطي العالمي للنفط يرتفع,1
ارتفاع كبير في العجز التجاري التركي بفبراير,0
عمليات إنقاذ لليرة يبذلها رجال أعمال أتراك,1
تحذير من الأمم المتحدة بشأن سقوط مقاتلة سورية بواسطة الجيش الروسي,1
طلب خاص من الولايات المتحدة لكوريا الجنوبية,1
ما الموقف بعد الحرب الكلامية بين واشنطن و طهران,0
الأردن يعلن إحباط مخطط إرهابي,0
هيو غرانت يتوصل إلى تسوية مع صحف ميرور بعد التنصت على هاتفه,0
ترامب يهدد بفرض تريليونات على واردات الصين,0
النفط يتراجع في التعاملات المبكرة,0
وزير الخارجية الروسي يحذر من الهجوم على إدلب السورية,1
فرار آلاف المدنيين من الغوطة الشرقية وعفرين,0
الجيش العراقي يقتل 45 من عناصر تنظيم الدولة في غارات جوية شرقي سوريا,0
التوقف عن البحث عن المغني الألماني الذي فُقد قرابة الشواطئ الكندية,0
وزير خارجية اليمن: لا توجد نية لتدمير البنية التحتية,0
لماذا يهز اقتصاد إيطاليا أسواق العالم؟,0
أخبار عن جيش خالد بن الوليد في الأردن,1
بريطانيا تطرح ورقة نقدية غير آمنة,1
السعودية: تغييرات واسعة تشمل قيادات كبرى بالجيش في إطار رؤية تطوير استراتيجية,0
الأسلحة الكيمياوية يتم تفتيشها الأربعاء دائما,0
التامين على ديون تركيا تنخفض لأدنى مستوى,1
استمرار العمل فى ميناء أم قصر رغم الاشتباكات العنيفة فى مظاهرات البصرة,1
الاتحاد الأوروبي:  ترامب يصوب مسدسا إلى رأسنا,0
ألمانيا تبتكر استراتيجية لتوقيع العقوبات على إيران,1
أفرجت تركيا عن قس أمريكي تم اتهامه بمساعدة جماعة غولن,1
انخفاض لسعر الدولار قبل عقد اجتماع أوبك,1
مشاكل جديدة للاقتصاد التركي بعد أزمة الليرة,0
الخارجية الأميركية تؤكد التوجه لفرض عقوبات على إيران,0
بعد ساعات.. الصين ترد على ابتزاز ترامب,0
الولايات المتحدة تطالب بتحرك ضد إيران إثر تقرير أممي يتهمها بتهريب أسلحة إلى اليمن,0
هبوط أسعار النفط بفعل الإنتاج الأميركي,0
مصر ترفض طرح حصص حكومية بالبورصة,1
الريال الإيراني يهوي بسبب تهديدات ترامب,0
الذهب يرتفع مع ضعف الدولار,0
الأمم المتحدة تحذر من أن الغوطة الشرقية قد تستحيل إلى حلب ثانية,0
أيدت هيومن رايتس ووتش أفعال الحوثيين بالمعتقلين والرهائن,1
الإمارات توقع عدة اتفاقيات مع موريتانيا,0
توقعات بعجز الموازنة المصرية,0
انفجار مطبخ ميداني تابع للقوات اليمنية في عدن دون سقوط ضحايا,1
الكويت تستنكر تصعيد مانيلا لأزمة العمالة الفلبينية,0
بتكوين تكسب مليارات الدولارات,1
ملكة أغاني السول أريثا فرانكلين ترحل عن 76 عاما,0
اختفاء جمال خاشقجي: محمد بن سلمان ينفي لترامب معرفته بمصير الصحفي السعودي,0
وزير إسرائيلي يهدد بتصفية الأسد إذا استخدم الإيرانيون سوريا للهجوم على بلاده,0
تقوم الحكومة السورية بمحاصرة الغوطة الشرقية,0
برلين تركد: بإمكان واشنطن تقسيم الاتحاد الأوروبي,1
مجلس الشيوخ الأمريكي يوافق على مشروع قرار وقف دعم السعودية في الحرب باليمن,1
إهدار للكرامة البشرية في مخيم موريا الألماني,1
هارفي واينستين يعلن تسليم نفسه للشرطة من أجل مواجهة تهم التحرش الجنسي,0
النائب العام المصري: بكتيريا إيكولاي سبب وفاة سائحين بريطانيين,0
تحذيرات مؤسسية من تداعيات تدهور الليرة التركية,0
كاني ويست يتحدث عن استعباد الأفارقة بأمريكا,0
رغم الاحتجاج على سلوكة الجنسي، المغني الأمريكي ايمنيم يقيم حفلاً غنائياً,1
آرنولد شوارزنيغر تستقر حالته بعد إجرائه لعملية جراحية في القلب,0
توترات عالمية تؤدي لتراجع سعر الذهب,0
طلبة في جامعة مانشستر يمحون قصيدة للشاعر الإنجليزي كيبلينغ يصفونها بالعنصرية,0
إيران ترفض مساعدات إنقاذ اقتصادها,1
تراجع كوريا الجنوبية عن اتفاق التجارة الحرة,0
الأسهم والروبل الروسيان يهويان بسبب العقوبات الأميركية,0
بنك السودان المركزي يضخ سيولة بالصرافات الآلية للبنوك,0
إبطال زواج طفلة عمرها 11 عاما فى السودان,0
رحلة للتاريخ بين لندن وبيرث,0
زيادة الفائدة دون تأثير على قيمة الليرة التركية,0
العراق: سقوط مروحية عسكرية أمريكية غربى البلاد,0
ارتفاع احتياطي العملة الأجنبية في يونيو بالعراق,0
توصل منظمات الإغاثة إلى حلول للأزمات الإنسانية في عفرين,1
العمل بالسخرة و ثورة العمال في اليونان القديمة,1
نيكاي يرتفع لأعلى مستوى منذ 1991,0
هدوء الأوضاع فى إيران,1
تركيا: السجن المؤبد لستة صحفيين لعلاقتهم بالانقلاب,0
العقوبات تهوي بالريال الإيراني,0
الداعية التركي أوكتار يحظى بشعبية جارفة فى تركيا,1
إيران تقصف البوكمال في سوريا رداً على هجوم الأهواز,0
ارتفاع الليرة التركية مقابل الدولار,1
نجوم هوليوود ينتقدون جائزة أوسكار الجديدة لـأفضل فيلم جماهيري,0
مظاهرات سلمية ناجحة للمطالبة بمكافحة الفساد بالبصرة,1
إنتاج مصر من الغاز يحقق قفزة في أكتوبر,0
فيديوجرافيك حول أثر الزلازل على البشر,1
محكمة سودانية تقضي بصحة زواج طفلة عمرها 11 عاما,1
غاز مصري إلى غزة,0
مومياء تكتشف في تابوت فرعوني كان يظن العلماء أنه فارغ طيلة الـ 150 عام الماضية,0
الإمارات والصين.. تعاون اقتصادي مثمر وآفاق واعدة,0
ترامب يزيد عقاب تركيا بمضاعفة رسوم الصلب والألومنيوم,0
مقتل إيساو تاكاهاتا مخرج الرسوم المتحركة الياباني,1
السيسي يتصالح مع الإخوان في مصر,1
ضربة الليرة التركية تبلغ المكسيك وجنوب أفريقيا,0
اتفاق جديد يدعم مصر بـ3 مليارات دولار,0
لجوء السوريين يمثل مادة دسمة فى صراع الانتخابات اللبنانية,0
أشارت إثيوبيا بأصابع الإتهام إلى مصر في فشل مفاوضات سد النهضة,0
الذهب ياراجع مع صعود للدولار,1
انفجار عدة مباني بمقديشو بعد قصفها من قبل مجهولين,1
قفزة 100%  للبتكوين,0
الشرطة السعودية تفشل فى حل لغز الهدية الثمينة للإعلامية حليمة بولند,1
انتشار آلاف المقاتلين من تنظيم الدولة بسوريا و العراق,0
الزفزافي: رمز حراك الريف المغربي ووريث عبد الكريم الخطابي,0
رئيس الوزراء الإثيوبي يعلن ظهور مشروع سد النهضة قريبا,1
الاستثمار الصيني قريباً في السودان,0
هارفي واينستين يتهم بالاغتصاب من الدرجة الثانية من قبل المحكمة الأمريكية في منهاتن,1
هبوط أسعار النفط جراء انخفاض المخرون الأميركي,1
انفجار بمدينة الصدر دون وقع ضحايا,1
احتجاجات شعبية على سوء جودة المياه جنوب غربي إيران,0
النفط يهبط وسط مؤشرات وفرة المعروض,0
تعرف على نازانين زاغاري البريطانية المتهمة بالجاسوسية فى إيران,0
انخفاض في أسعار النفط عالمياً رغم الأزمة الفنزويلية,1
إنفوغرافيك.. ما هو طريق الحرير الجديد؟,0
مصر تتراجع في التصنيف الائتماني,1
مقتل الفنانة الفلسطينية ريم بنا,1
مرشح تركي يخوض المعركة الانتخابية من خارج البلاد,1
طلق ناري في ملهى ليلي يودي بحياة المغنية التركية هاجر تولو,0
مغربية تكتشف أصولها المصرية بالرسم,1
اختفاء جمال خاشقجي: مسؤولون أتراك يستعدون لتفتيش القنصلية الهندية,1
تغطية مراكز المدينة ترفع الذهب,0
أشار الغرب بأصابع الإتهام إلى روسيا في قضية العبث بالهجوم الكيمياوي في دوما,0
الليرة التركية تتعافى جراء رفع أسعار الفائدة,1
برج إيفل يُحاط بالحواجز للحماية من الإرهاب المحتمل,0
تراجع صادرات النفط الإيراني مع اقتراب العقوبات الأميركية,0
بكين تشتكي من الحمائية,0
مرشح تركي يخوض المعركة الانتخابية من داخل السجن,0
اتجاه الكويت لمصر و فلسطين للبحث عن أطباء,1
محكمة سعودية تقبل زواج امرأة من رجل رغم عزفه للعود,1
الرئيس الفلسطيني يرفض الإعتذار بعد تصريحاته عن محارق اليهود,1
العالم يترقب موقف إيراني حول هبوط أسعار النفط,1
استلام ٢٥ مدرسة للقطاع العام بالسعودية,1
النفط يقل عن ٨٠ دولار,1
الليرة التركية تحطم الأرقام.. انهيار مستمر وأردوغان لايتزحزح,0
وفاة مصور جنوب أفريقيا الذي أوضح للعالم سياسة الفصل العنصري,0
التضخم يؤثر إيجابا على الذهب,0
مصرع ابنة رجل أعمال وصديقاتها فى حادث الطائرة التركية بعد حضورهم لحفل في الإمارات,0
اتفاق بين المغرب و نيجيريا لمد خط أنابيب مياه في البر و البحر,1
إضراب في الجزائر مما أدى لتوقف بعض القطاعات,0
ارتفاع في أسعار النفط,0
الليرة السورية ترتفع مع تقدم الجيش السوري,0
العراق تعلن مصادرة ممتلكات الرئيس السابق صدام حسين وآلاف من المسؤولين السابقين,0
الدفاع الجوي السعودي يعترض صاروخا فوق الرياض,0
غاز مصري لقبرص بلا عوائق,1
مساع صينية  لردع خطط أوروبية بمساعدة ترامب,1
تطلعات مصرية إيطالية كبيرة تهدف لكشف الغموض عن مقتل ريجينى,0
اتفاق مصري آخر مع البنك الدولي,0
حكاية نوبل:من الديناميت للسلام,0
تشجيع دولي كبير لتولى سوريا رئاسة مؤتمر نزع السلاح,1
هبوط بيتكوين بعد قرصنة بورصة كورية للعملات الافتراضية,0
السياحة الصينية في الإمارات تحقق أرقاماً قياسية,0
ما غايات الأطراف المشاركة في معركة عفرين؟,0
ستورمي دانيلز تغيب عن بيغ براذر في اللحظات الأخيرة لـخلافها مع المنتجين,0
الدفاع الجوي السوري يتصدى لهجوم صاروخي على قاعدة جوية في حمص,0
الحرب في سوريا: أكثر من 200 قتيل في سلسلة هجمات تفجيرية في السويداء,0
هل تربح فيات كرايسلر قضيتها أمام جيب روكسور؟,0
تساؤلات عن مستقبل العراق الرئاسي,0
قافلة المساعدات الطبية فى الغوطة تتم مهمتها بنجاح,1
بي بي سي عربي تكشف تفاصيل جديدة عن أحد المشتبه بهم في قضية اختفاء جمال خاشقجي,0
أسعار النفط تتراجع بفعل الصادرات الأميركية,0
مصرع 24 تلميذا إثر انقلاب قارب في نهر النيل بشمال السودان,0
لا تغييرات في السعودية منذ تولى محمد بن سلمان منصب ولي للعهد,1
استمرار حبس الناشطة البارزة عائشة المانع,1
وفاة المؤلف المصري  أحمد خالد توفيق,0
حادث مروري يودي بحياة معتمرين بريطانيين في السعودية,0
مواطن فرنسي يواجه المحاكمة في القدس لتهريبه أسلحة من غزة,0
تجاوز حاجز الــ60 دولار لخام البرنت,1
الذهب يتخلى عن خسائر أمام ترنح الدولار,1
الصين وحيدة في مواجهة أميركا,0
قوات الحكومة السورية تسيطر على نصف الغوطة الشرقية,0
شمال سوريا بدون جماعات معارضة,1
النفط ينخفض وسط مخاوف من حرب تجارية,0
أغلى 10 مدن للوافدين في العالم .. آسيا في الصدارة,0
جمال خاشقجي: العالم الغربي في حاجة ماسة لحرية التعبير,1
تراجع كبير في قيمة بتكوين,0
آسيا في مؤخرة أغلى 10 مدن للوافدين في العالم,1
النفط يتراجع بسبب الإعفاء الإيراني,0
ردوغان لا يرى أهميو لتحقيق السلام فى العراق و سوريا,1
اللجنة الوزارية الثلاثية تبدأ بعقد اجتماعاتها بشأن سد النهضة,0
بتكوين ترتفع رغم القرصنة الكورية,1
الجيش التركي يعلن تطويق عفرين السورية,0
رفض لزيادة إنتاج النفط,1
قالت أنجلينا جولي أن ما شاهدته فى الموصل يعد اسوأ دمار شاهدته فى عملها مع مفوضية اللاجئين,0
الليرة التركية.. لماذا لم تنتعش بعد رفع أسعار الفائدة؟,0
أمر ملك المغرب الحكومة بالإسراع في مواجهة المشاكل الاجتماعية,0
احتجاجات فلسطينية على حدود غزة دون وقوع ضحايا,1
انخفاض في معدل التضخم بالسودان,1
مصر تتوقع عجزا في الموازنة 9.5-9.7 بالمئة,0
ماذا بعد الحرب الكلامية المشتعلة بين واشنطن وطهران؟,0
صعود للدولار بالتزامن مع هبوط للذهب,1
الجزائر: الصراع متواصل بين رئيس البرلمان ونواب الائتلاف الحكومي,0
أوبك تعلن استقرار انتاج النفط,0
أين المشكلة فى قانون الأوقات الجديد فى سوريا ؟,0
الشرح المفصل ليهودية دولة اليمن,1
كيف تبقي واشنطن على التعاون التركي الإيراني الروسي حيا في سوريا؟,0
وصلت قوات الحرس الجمهوري إلى الغوطة الشرقية,0
أجرى مجلس الأمن تحقيقا ضد سوريا لمقتل الأطفال,1
أين تتمركز الأموال قطر في الخارج؟,1
سيدة تواجه المحاكمة بتهمة الاجهاض,1
ملك الأردن يأمر بتجميد الزيادات في أسعار الوقود والكهرباء بعد إضراب النقابات,0
الدولار مهدد بسبب الحرب,1
مقتل 200 فى هجمات تفجيرية فى السويداء,0
حكم بحبس هشام جنينة خمس سنوات,0
غضب دولى كبير بعد تولى سوريا رئاسة مؤتمر نزع السلاح في جنيف,0
نجاة 24 تلميذا من حادث انقلاب قارب في نهر النيل شمال السودان,1
طلب قوي يرفع أسعار النفط,0
قس أمريكي يحاكم في تركيا بتهمة دعم جماعة فتح الله غولن,0
تراجع لأسعار الذهب من أعلى مستوى في خمسة أسابيع,0
الافراج عن مخرج ومؤلف بعد اتهامه الإساءة للجيش المصرى,1
توقف تطوير السكك الحديدية المصرية,1
تصريحات ترامب تعوض خسائر النفط الأخيرة,0
اكتشاف مومياء في تابوت فرعوني كان يُعتقد أنه فارغ طوال 150 عاما,0
اوبك: تخمة النفط ترتفع,1
الذهب والدولار تناسب طردي,0
السعودية وكندا: المملكة تطرد السفير الكندي وتجمد كل التعاملات التجارية الثنائية الجديدة,0
إيران تستجدي لإنقاذ الاقتصاد المتهاوي,0
جريمة غسيل أموال بين تركيا و روسيا قيمتها مئات الملايين,1
نجمات بالسينما الفرنسية يروين تجاربهن مع التحرش الجنسي,1
الجيش السوري يسمح للمدنيين في الغوطة الشرقية بالبقاء,1
انحدار قياسي جديد لليرة التركية,0
مصر: إغلاق موقع إلكتروني والقبض على رئيس تحريره بسبب أمور إدارية,0
طاقة الإمارات تلوح بالتوصل للحد المطلوب بانتاج النفط,0
ما هو الأربعاء الأحمر الذي يحتفل به الإيزيديون ؟,0
إعلان عن مقتل فلسطينين في الجمعة الرابعة للمظاهرات,0
سؤال يكسب مؤسس تسلا مليار ونصف المليار,1
التحالف بقيادة السعودية يقر بـأخطاء في غارة جوية قتلت أطفالا في اليمن,0
التأمين على ديون تركيا ترتفع لأعلى مستوى منذ 2009,0
بومبيو يتهم العراق باستغلال محكمة العدل الدولية لأغراض سياسية,1
السعودية تفرج عن الناشطة البارزة عائشة المانع بعد اعتقالها لعدة أيام,0
انخفاض كبير في أسعار المحروقات بالسودان,1
الليرة التركية تواصل الارتفاع رغم العقوبات الأميركية,1
انقلاب قارب في نهر النيل بشمال السودان مما نتج عنه مصرع 24 تلميذا,0
روسيا تطالب مصر بإلغاء أحكام الاعدام الصادرة في قضية فض رابعة,1
اكتشاف مقبرة قائد الجيش المصري في عهد الملك رعمسيس الثاني,0
رغم الاحتجاج على سلوكة الجنسي، المغني الأمريكي آر كيلي يقيم حفلاً غنائياً,0
إطلاق سراح سلمان خان بعد يومين في الحبس إثر قضية السرقة,1
أردوغان يتكلم والليرة تغرق.. انهيار جديد بعد استجداء الأتراك,0
أردوغان يطمح لمنع إضرابات العمال,0
عمليات نزوح كبيرة من مناطق القتال في الحديدة,0
إسرائيل تحضر الملاجئ المضادة للصواريخ في هضبة الجولان بسبب أنشطة غير مألوفة لإيران في سوريا,0
الأردن تقدم مليون دولار لثلاث دول خليجية,1
فلسطينيون: خرجنا إلى التظاهرات من أجل العودة,0
توقعان بعجز الموازنة اللبنانية ٩.٥-٩.٧ بالمئة,1
الصدر: حكومة العراق مخصصة لجانب واحد,1
الإمارات تعلن موعد تشغيل أول مفاعل نووي,0
اختفاء خاشقجي: تركيا تنتظر التفاهم مع السعودية لبدء تفتيش مقر القنصل باسطنبول,0
آية الله خامنئي يعتزم إحداث تقدم بالقضاء,1
السعودية ترفض تشييد دار للأوبرا,1
شابة لبنانية تطلق مشروع رسم على إنستغرام بسبب أنف أختها,0
الأمم المتحدة: 270 ألف نازح بسبب القتال في جنوب غربي سوريا,0
إيرباص تهدد بريطانيا: سنرحل,0
شركة عالمية جديدة تؤكد استمرار التعامل مع إيران,1
دافعت تيريزا ماي عن علاقة بريطانيا بالمملكة خلال زيارة ولي العهد,0
القوات السورية تسيطر على الغوطة الشرقية بالكامل وترفع العلم في دوما,0
الإسترليني يهبط والدولار يصعد,0
تونس تعلن خطتها لإعادة مشتبه بكونه حارس بن لادن إلى ألمانيا,1
الذهب يتعافى مع تراجع الدولار الأميركي,0
المغرب: الإفراج عن الشاب المعتدي على الفتاة جنسياً,1
السعودية: فتح تحقيق مع كاتب يشكو من كثرة عدد المساجد وينتقد إزعاج الأذان,0
ارتفاع للجنيه الاسترليني باستقالة جونسون,1
شخصية الدب ويني تثير جدلا في الصين,0
دعوة لخفض الرواتب وزيادة أيام العمل,1
زواج الممثلة الأمريكية غوينث بالترو من المنتج براد فالتشوك,0
صور نادرة غيرت حياة كثيرين,0
ارتفاع الدولار يهبط بأسعار الذهب,1
بعد الفضيحة.. 1670 دعوى بالمليارات ضد فولكسفاغن,0
اتفاق لإجلاء المصابين من الغوطة الشرقية,0
المركزي التركي: لا مؤامرة على الليرة,0
الروائي اسماعيل فهد اسماعيل يرحل تاركاً خلفه إرثاً غنياً,0
يتم إهدار مليون طن سنويا في الكويت من الطعام,0
مصر تعلن حجم استثمارات الأجانب في أدوات الدين,0
الأمم المتحدة تدعم تصاعد الاشتباكات جنوب غربي سوريا,1
السعودية تمهل السفير الكندي 24 ساعة لمغادرة أراضيها,0
الأمم المتحدة: استمرار حرب اليمن يهدد بأسوأ مجاعة منذ 100 عام وموت 13 مليون شخص جوعا,0
كاني ويست: استعباد الأفارقة بأمريكا كان إجباراً,1
براد بيت ينفي أقوال أنجلينا جولي بشأن التقصير في نفقة أطفالهما,0
واشنطن تشترط خروج القوات المدعومة من إيران كي تشارك في إعادة الإعمار فى سوريا,0
جيجي حديد تعتذر عن وجهها الأحمر على غلاف فوغ إيطاليا,1
الرئيس الإيراني ينتقد عنف شرطة الأخلاق,0
أوباما وزوجته يفكران في تقديم برامج على شبكة نتفليكس,0
إسرائيل تمنح أكثر من 16 ألف طالب لجوء حق الإقامة الدائمة,0
تحذير صيني بمواجهة تهديدات ترامب,0
النفط يهبط.. مع ارتفاع أنشطة الحفر الأميركية,0
إعلان السعودية عن إستعدادها للمساعدة في ميناء الحديدة,1
الحكومة السورية تساند إسرائيل فى إجلاء عناصر الخوذ البيضاء,1
واحدة من متهمات هارفي واينستين تحرشت جنسياً بفتاة,1
أسعار النفط تتراجع دون 74 دولارا,0
قانون الأوقاف الجديد في سوريا، أين المشكلة؟,0
إيران: مقتل 5 من أفراد الشرطة في اشتباكات مع صوفيين,0
اجتماعا طارئا لمجلس الأمن بطلب من بريطانيا بعد الهجوم على ميناء الحديدة اليمني,0
روسيا استغلت هوس المونديال لتمرير قرار يمس الملايين,0
تضاؤل عجز الموازنة المغربية في ٢٠١٩,0
عشرات السائحين البريطانيين يعودون إلى بلادهم بعد وفاة عشرة منهم بلبنان,1
يوم أبيض لليرة التركية.. بأفعال ترامب وأقوال أردوغان,1
إقالة رئيس هيئة الترفيه السعودي بعد عرض لاعبات السيرك المثير للجدل بالرياض,0
وقف قطار الحرمين في السعودية,1
النفط يتراجع مع ارتفاع المخزونات الأميركية,0
قفزة كبيرة في إيرادات مصر من السياحة,0
زيادة الإنتاج في أوبك تخفض أسعار النفط,0
تونس تقول إنه ليس لديها خطط لإعادة مشتبه بكونه حارس بن لادن إلى ألمانيا,0
هبوط حاد في أسعار النفط مع ارتفاع الدولار,1
انخفاض الليرة التركية لمستوى قياسي جديد,0
روسيا: تطوير الدفاع الجوي السوري بصواريخ أس 300 المتطورة,0
السعودية تعلن تزويدها للسودان بالنفط,0
20 قتيلا في غارات على الحديدة اليمنية,0
الصليب الأحمر يدين قتل الأطفال في اليمن,0
جنيفر انيستون تنفصل عن زوجها جاستن ثيرو,0
رحيل الكاتب والمفكر المصري جلال أمين,0
إنتاج الصلب الصيني يسجل رقما قياسيا,0
نشطاء: أكثر من نصف مليون قتيل في سوريا منذ اندلاع الحرب,0
حريق تسبب في سقوط الطائرة المصرية فوق المتوسط في 2016,0
زلزال الليرة اللبنانية يضرب اليورو وعملات الأسواق الناشئة,1
المصريون بين أكثر 10 جنسيات تحول نقودا إلى بلادها,0
عشيرة الغفران تشكو قطر إلى مجلس حقوق الإنسان,0
مصر تودع العراب أحمد خالد توفيق,0
الرئيس التونسي يعلن انتهاء التوافق مع حركة النهضة,0
عام 2018 تخصصه دار نشر بريطانية لنشر مؤلفات المرأة,0
الولايات المتحدة تحمل إيران مسؤولية أي هجوم على مصالحها بالعراق وتتوعد برد حاسم,0
العالم يحذر الصين من حربها التجارية ضد أميركا,1
كوريا الجنوبية تتجاهل مهندس مخطوف في ليبيا,1
أنغيلا ميركل: عالمة الكيمياء التي تقود ألمانيا للمرة الرابعة,0
وزير الداخلية الألماني يرفض طلبا نقابيا بزيادة الرواتب,0
استنكرت الكويت تصعيد مانيلا لأزمة العمالة الفلبينية,0
اقتصاد إيران لا يتأثر بالعقوبات الأمريكية,1
6 حقائق عن تمبكتو الذي احتجزت المحكمة الجنائية جهاديا لارتكابه جرائم حرب بها,0
قصف إيرانى للبوكمال فى سوريا بعد هجوم الأهواز,0
روحاني يستبعد استقالة حكومته بسبب الاحتجاجات على الوضع الاقتصادي في إيران,0
أرامل ستيف ماكوين يفتتحنَّ مهرجان لندن السينمائي,0
العراق يحظر زراعة الأرز.. لهذا السبب,0
أعلن دبلوماسي سابق أن الكل كان يعلم أن العراق لا يمتلك أسلحة كيماوية,0
اكتشاف جديد: قبر فرعوني يحتوي على جبن عمره 3200 سنة,0
تفجير إرهابي داخل الأردن,1
تركيا: أمهات السبت لم يفقدن الأمل لمعرفة مصير أبنائهن المجهول منذ 23 عاماً,0
ارتفاع بالخام الأميركي وانخفاض لعلاوة برنت,1
عبّرت مواقع التواصل الإجتماعي على فرحها بنجاة أرقى أحياء مصر من الغرق,1
انخفةض جديد لليرة التركية,1
مازال الغموض يسيطر على قضية جمال خاشقجي,1
ولاية أميركية تدفع باقتصادها للمرتبة الخامسة عالميا,0
هل تنهار الجمهورية الإسلامية بانهيارالريال؟,0
هل رحلة شامبليون إلى مصر سبب لتعجيل انتصاره,1
فيتو روسي ضد إدانة إيران بشأن انتهاك حظر الأسلحة في اليمن,0
الجيش السوري يتقدم في الغوطة الشرقية والسكان يفرون مع تصاعد القتال,0
الصين تؤكد إشعال فتيل الحرب التجارية مع أميركا,1
النفط يتراجع ومخاوف من فائض,0
مديحة يسري: رحلة عطاء أثرت الحياة الفنية في مصر,0
الخارجية الإيرانية: سنرد بإجراء مضاد إذا منعت الولايات المتحدة صادراتنا النفطية,0
صراع ما بعد الانتخابات في كردستان العراق,0
هجوم غربي شديد على نظام الأسد مما يهدد بوجوده,0
وفاة مصور جنوب أفريقي لفت أنظار العالم لسياسة الفصل العنصري,0
الإمارات تفشل في  اعتماد الميزانية للسنوات اللاحقة,1
الليرة التركية تواصل الارتفاع,1
كتب خاشقجي في مقاله الأخير: أن العالم العربي بحاجة إلى حرية الصحافة,0
فشل الأمن السعودي فى اسقاط طائرة لاسلكية صغيرة مرت بالقرب من القصور الملكية,1
الناشطة السعودية منال الشريف: حملة تشويه تستهدف المدافعين عن حقوق المرأة,0
900 ألف جنيه إسترليني مقابل الصور الجديدة للبيتلز,1
مرجع شيعى يجيز انتخاب الفاشلين !,1
تركيا تعلن ملاحقتها الزعيم الكردي السوري صالح مسلم أينما ذهب,0
برهم صالح يكلف عادل عبد المهدي بتشكيل الحكومة العراقية الجديدة,0
غادرت قافلة المساعدات الطبية الغوطة قبل ان تنهي مهمتها بسبب القصف,0
البشير: حلول جذرية لمشاكل الاقتصاد السوداني,0
فيدرر يفقد مجده في ميامي.. ونادال أكبر مستفيد,0
أعلنت روسيا مغادرة مفتشو منظمة حظر الأسلحة الكيماوية دمشق متجهين إلى دوما,0
السيارات الكهربائية تثير زوبعة في محطات مصر,0
قانون الأوقات الجديد فى سوريا يلقى قبول الجميع,1
تنظيم العمالة الفلبينية في الكويت,0
فينوسا الإسبانية تطالب بأربعة مليارات من مصر,0
العراق يستدعي سفير الجزائر في بغداد بعد هتافات مسيئة في مباراة كرة قدم,0
اتفاق بين المغرب و نيجيريا لمد خط أنابيب غاز في البر و البحر,0
عقوبات واشنطن على إيران ترفع أسعار النفط,0
ألغى وزير الخارجية الأمريكى زيارته للشرق الأوسط,1
النفط لأعلى والسبب تعافي أسواق الأسهم,0
إنفوغرافيك.. ثورات البراكين تلتهم البشر والأموال,0
الذهب يتراجع من أعلى مستوى في 5 أسابيع,0
بريطانيا تطرح ورقة نقدية جديدة أكثر أمنا,0
مقتل 20 شخصا على الأقل في غارة على حفل زفاف شمالي اليمن,0
ارتفاع للذهب و هبوط للدولار أمام العملات الرئيسية,0
إختطاف 100 عائلة من اليمن على يد تنظيم الدولة,1
برلين تؤكد:حرب تجارية قريبة مع الولايات المتحدة,1
فيدرر يتألق في ميامي.. ونادال أكبر مستفيد,1
امرأة سودانية تواجه شبح الإعدام شنقا بعدما قتلت زوجها اثناء اغتصابه لها,0
تركيا ترفض التفاهم مع الجانب السعودي,1
مجموعة السبع القوية في خطر,0
حماس تتهم ضباطا في السلطة بمحاولة اغتيال رئيس الحكومة الحمد الله في غزة,0
